ticker,market,2007-01-03,2007-02-01,2007-03-01,2007-04-02,2007-05-01,2007-06-01,2007-07-02,2007-08-01,2007-09-04,2007-10-01,2007-11-01,2007-12-03,2008-01-02,2008-02-01,2008-03-03,2008-04-01,2008-05-01,2008-06-02,2008-07-01,2008-08-01,2008-09-02,2008-10-01,2008-11-03,2008-12-01,2009-01-02,2009-02-02,2009-03-02,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-03,2009-09-01,2009-10-01,2009-11-02,2009-12-01,2010-01-04,2010-02-01,2010-03-01,2010-04-01,2010-05-03,2010-06-01,2010-07-01,2010-08-02,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-03,2011-02-01,2011-03-01,2011-04-01,2011-05-02,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-03,2011-11-01,2011-12-01,2012-01-03,2012-02-01,2012-03-01,2012-04-02,2012-05-01,2012-06-01,2012-07-02,2012-08-01,2012-09-04,2012-10-01,2012-11-01,2012-12-03,2013-01-02,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-03,2013-07-01,2013-08-01,2013-09-03,2013-10-01,2013-11-01,2013-12-02,2014-01-02,2014-02-03,2014-03-03,2014-04-01,2014-05-01,2014-06-02,2014-07-01,2014-08-01,2014-09-02,2014-10-01,2014-11-03,2014-12-01,2015-01-02,2015-02-02,2015-03-02,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-03,2015-09-01,2015-10-01,2015-11-02,2015-12-01,2015-12-31,2016-01-29,2016-03-01,2016-04-01,2016-05-02,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-03,2016-11-01,2016-12-01,2017-01-03,2017-02-01,2017-03-01,2017-04-03,2017-05-01
IBM,NYSE,5.13726,5.22863,4.80618,5.0329,5.50863,5.2119,8.52568,9.09644,9.71954,7.98297,7.62215,7.13052,5.09047,5.30393,5.5108,5.56936,5.90976,6.00642,5.71723,6.07051,5.62832,5.37647,4.52457,3.74202,8.68898,9.04303,8.73898,9.48324,10.16332,10.44485,8.93583,10.22114,9.96647,8.41888,8.60883,9.07832,7.63758,7.15407,7.28327,7.46431,7.54288,7.11784,7.34103,7.83155,7.41971,7.57774,8.0068,7.97439,7.85839,8.65518,8.40735,8.77614,9.19713,8.77416,9.01324,9.33393,8.68051,9.16257,9.58873,9.88583,10.7608,11.0826,11.31432,11.67192,11.59001,10.43794,10.93149,10.89521,10.73745,11.0402,10.3415,9.82864,11.63283,12.12487,11.92924,12.48599,11.59379,11.98875,10.97491,12.08016,11.24993,11.39792,9.7911,9.41456,9.84158,9.0581,8.18291,8.63767,11.7955,11.15451,11.19415,10.85887,10.90979,10.65977,11.41077,11.22478,11.26091,10.72393,13.31565,13.20778,14.08605,13.73004,13.27097,11.3608,10.11512,10.17963,10.24329,10.26314,9.99726,9.06524,9.04432,10.26598,9.34363,9.76722,9.75698,9.80875,9.64211,9.52547,8.54092,8.88704,9.29686,9.66446,9.36871,8.9851,8.14261
DDD,NYSE,4.16663,5.17747,5.2018,6.0043,5.51654,6.93787,6.56442,5.17509,5.41332,5.12736,4.57164,3.71515,3.0202,3.1017,3.09214,3.23546,3.34189,1.939,2.12,2.6522,2.57728,3.17761,2.57613,1.35729,1.76769,1.57452,1.03249,1.46501,1.48315,1.58202,1.70748,1.69152,1.82617,2.01445,1.88687,2.59679,2.52591,2.3058,3.26375,2.93063,3.47272,2.73483,2.48435,3.29316,2.77074,3.07316,5.01005,5.62382,5.61062,5.12725,9.05283,7.00586,4.87165,4.8667,4.57618,4.72279,3.89813,2.97204,3.37712,3.40008,3.05352,3.93608,4.59556,4.69326,6.03872,6.07266,5.09205,5.36901,6.4833,4.63727,6.2095,6.08443,6.9096,7.48095,7.08117,6.41005,6.57061,8.76394,8.5616,5.69588,6.40919,6.75899,7.21107,8.83697,10.82526,8.50767,8.32602,6.47932,5.39313,5.98879,7.32155,4.10071,4.56268,3.8562,3.24882,2.87464,2.77617,2.58305,2.61762,2.3753,2.1548,1.90413,1.64166,1.08797,1.12257,0.95759,0.92961,0.80518,0.78091,0.71981,1.01327,2.58284,2.83224,2.30739,2.29097,2.17138,2.46088,3.08831,2.32183,2.34029,2.41254,2.89968,2.72604,2.69948,2.93438
MMM,NYSE,5.76703,5.45237,5.32687,5.46422,5.98929,6.29593,6.13234,6.20691,6.32894,6.15965,5.45487,5.30328,4.98262,4.89225,4.70584,4.60576,4.42056,4.28613,3.89115,3.91178,3.93163,3.82741,3.64112,3.54116,4.15685,3.55499,3.01118,3.61205,4.12765,4.25218,3.92632,4.66323,4.59521,4.15553,4.25462,4.52058,4.62928,4.48541,4.50165,4.4074,4.72067,4.10397,4.0095,4.46175,4.14507,4.03999,3.87215,3.9516,3.94418,3.98962,4.10386,4.01213,4.17541,3.93355,3.95792,3.55259,3.3004,2.92969,3.16099,3.2889,3.76054,3.9344,3.93689,3.82612,3.84198,3.53948,3.7621,3.843,3.86665,3.65848,3.50005,3.51646,3.72104,3.98722,4.07519,4.14902,4.10582,4.18086,4.13173,4.52727,4.26424,4.50529,4.70634,4.75892,5.14372,4.61382,4.94241,5.10391,5.2802,5.28536,5.36855,5.23147,5.32551,5.1394,6.07417,6.21115,6.43894,6.45307,8.25045,7.8643,7.1871,7.13674,6.98726,7.16312,6.51312,6.62128,8.08016,7.84539,7.53237,7.49719,8.26731,8.67863,8.72059,8.6897,9.04257,9.18423,9.10139,8.85158,8.2312,8.58297,8.84464,8.70158,11.01106,11.06094,11.29814
WBAI,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.70386,331.71456,355.17643,416.68849,9.9148,8.25803,8.33749,9.34271,9.48244,8.03055,7.03926,6.6208,4.39131,3.49445,3.46271,2.09242,2.14639,3.50144,4.64515,5.7004,3.00977,2.09253,2.41546,3.03747,2.93674,3.00994,2.72593,2.80478,2.43479,2.92919,2.79903,2.78342,2.94157,2.93271,2.89609,2.77205,2.24192,2.48061,2.22669,2.14005,2.40607,2.14382
WUBA,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85803,15.57744,20.83618,19.11019,7.59888,6.30566,7.02152,8.53141,7.44049,6.66273,7.59596,9.40068,14.09426,16.07129,13.30162,11.87176,3.3502,3.51139,4.04965,3.24787,3.39492,2.92657,2.75553,2.80924,2.74147,2.70492,2.53371,2.78586,2.47645,2.58067,2.27972,1.69547,1.58568,1.61656,2.06845,2.01844,2.24692
AHC,NYSE,,,,,,,,,,,,,,3.94533,2.8689,0.49921,0.40821,0.39377,0.2338,0.22589,0.22018,0.23188,0.15999,0.07605,0.12278,0.10323,0.04924,0.07721,0.1128,0.08662,0.06589,0.18057,0.19218,0.22779,0.29775,0.32131,0.38725,0.42146,0.48744,0.51232,0.57928,0.47412,0.4354,0.51725,0.48565,0.47356,0.48229,0.57477,0.9405,0.91151,0.77161,0.9145,0.9156,0.75287,0.85018,0.716,0.59455,0.45637,0.53903,0.47006,0.87047,1.07653,0.85947,0.92326,0.79642,0.75374,0.77463,0.7973,0.87311,0.90923,0.94696,0.86001,1.05581,1.15062,1.11287,1.24561,1.39457,1.58991,1.58819,1.79923,1.6938,1.86886,1.86278,1.7167,1.69159,1.81057,2.74369,1.52123,1.50939,1.58163,1.60054,1.53677,1.69742,1.57806,1.53197,1.56698,1.38255,1.16866,1.18605,1.43192,1.14078,1.01334,0.96823,0.94922,0.86895,0.84776,0.97519,0.97792,0.8874,1.06133,1.13685,0.89219,0.94844,0.93218,0.92282,0.97711,1.18808,1.41685,1.17633,1.20574,1.25475,1.27436,1.22847,1.47071,1.50779
ATEN,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04633,7.44143,6.22473,6.3323,4.67899,2.32328,2.31795,2.63747,2.78447,2.50684,2.76741,2.85866,4.16027,4.57378,4.91468,4.75491,4.36499,5.75759,6.2239,5.20112,4.69369,5.20603,4.9359,4.96811,5.75741,5.72173,6.95651,8.43753,9.16721,6.51153,6.51464,6.91718,6.56009,7.69379,7.38761,6.42085
AAC,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.56246,21.7912,22.24779,18.84545,25.7177,6.88523,7.71423,8.42057,9.51363,6.69072,4.51313,4.60902,4.55597,4.03634,3.11216,2.91622,3.34377,3.30299,3.35921,3.62621,3.71274,3.51104,2.79126,2.55213,2.35946,1.23335,1.11754,1.16033,1.31174,1.24219,1.03808
AIR,NYSE,2.405,2.42219,2.3129,2.18825,2.50415,2.55722,2.60845,2.25501,2.32354,2.33099,2.27724,2.30656,2.67264,2.25492,1.75747,1.78423,1.67594,1.24897,0.86707,1.13272,1.03245,1.01919,1.05119,0.92503,1.11751,1.11392,0.72177,0.76941,0.8834,0.92323,0.97113,1.15318,0.91959,1.17652,1.08882,1.02095,1.27592,1.24993,1.21095,1.31738,1.38751,0.97211,0.87537,0.90062,0.85981,0.97825,1.13779,1.27899,1.46077,1.40202,1.34049,1.42694,1.31849,1.22392,1.31127,1.40912,1.09713,0.72237,0.88845,0.83882,0.92041,1.03896,1.01073,0.84732,0.69272,0.53702,0.6132,0.63053,0.66673,0.75925,0.68472,0.66788,0.85167,0.8393,0.76228,0.77059,0.75099,0.87725,0.96591,1.06302,1.09922,1.17001,1.22984,1.27331,1.12137,1.08238,1.19746,1.03993,1.02568,0.98274,1.11832,1.07125,1.10117,0.95026,1.03897,1.014,1.08131,1.13249,1.22037,1.30971,1.13546,1.11034,1.1983,1.12146,0.98107,0.80395,0.96462,1.00796,1.06817,0.85364,0.86579,0.94695,0.96752,0.98602,0.94155,0.94731,1.03455,1.23203,1.27959,1.47873,1.30839,1.26099,1.37509,1.32538,1.3901
AAN,NYSE,2.51513,2.63675,2.43241,2.24152,2.42867,2.5259,2.43301,1.90946,2.13853,1.81031,1.65985,1.58301,1.51537,1.53498,1.52622,1.74527,1.93634,1.73292,1.6688,2.01777,2.11321,1.9617,1.77869,1.68538,1.88258,1.54516,1.71356,1.60694,2.28293,2.20177,1.9483,1.83805,1.66721,1.67427,1.62896,1.61897,1.70002,1.70746,1.83104,1.98491,1.99807,1.73635,1.44178,1.58623,1.41896,1.52086,1.5619,1.68376,1.69785,1.61587,1.85379,2.01305,2.25367,2.17749,2.27303,1.98307,1.96413,1.95736,2.07083,2.09582,2.06267,2.16442,2.14063,1.88327,1.97715,1.89935,2.00097,2.04135,2.11508,1.89309,2.21253,1.99346,1.91279,1.98933,1.8275,1.88895,1.88294,1.77772,1.81578,1.84838,1.67927,1.73558,1.74504,1.66158,1.73216,1.54874,1.93218,1.92657,1.87491,2.02262,2.2017,1.61917,1.5502,1.43437,1.52595,1.71077,1.84775,1.9279,1.76263,1.6316,2.05648,1.93855,2.05757,2.10425,2.02327,2.00177,1.3994,1.32408,1.21004,1.23653,1.24459,1.34946,1.41016,1.2882,1.14862,1.2369,1.19725,1.22075,1.23152,1.44016,1.56421,1.51157,1.32265,1.39499,1.7522
