ticker,market,2007-01-03,2007-02-01,2007-03-01,2007-04-02,2007-05-01,2007-06-01,2007-07-02,2007-08-01,2007-09-04,2007-10-01,2007-11-01,2007-12-03,2008-01-02,2008-02-01,2008-03-03,2008-04-01,2008-05-01,2008-06-02,2008-07-01,2008-08-01,2008-09-02,2008-10-01,2008-11-03,2008-12-01,2009-01-02,2009-02-02,2009-03-02,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-03,2009-09-01,2009-10-01,2009-11-02,2009-12-01,2010-01-04,2010-02-01,2010-03-01,2010-04-01,2010-05-03,2010-06-01,2010-07-01,2010-08-02,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-03,2011-02-01,2011-03-01,2011-04-01,2011-05-02,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-03,2011-11-01,2011-12-01,2012-01-03,2012-02-01,2012-03-01,2012-04-02,2012-05-01,2012-06-01,2012-07-02,2012-08-01,2012-09-04,2012-10-01,2012-11-01,2012-12-03,2013-01-02,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-03,2013-07-01,2013-08-01,2013-09-03,2013-10-01,2013-11-01,2013-12-02,2014-01-02,2014-02-03,2014-03-03,2014-04-01,2014-05-01,2014-06-02,2014-07-01,2014-08-01,2014-09-02,2014-10-01,2014-11-03,2014-12-01,2015-01-02,2015-02-02,2015-03-02,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-03,2015-09-01,2015-10-01,2015-11-02,2015-12-01,2016-01-04,2016-02-01,2016-03-01,2016-04-01,2016-05-02,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-03,2016-11-01,2016-12-01,2017-01-03,2017-02-01,2017-03-01,2017-04-03,2017-05-01
IBM,NYSE,97.269997,99,92.269997,95.209999,103.169998,106.540001,105.010002,112.040001,118.190002,119.029999,113.650002,105.830002,104.690002,109.080002,114.230003,116.489998,123.610001,127.360001,119.269997,126.639999,118.410004,110.129997,92.68,76.900002,87.370003,90.93,89.050003,97.610001,104.610001,108.370003,104.839996,119.919998,116.690002,117.900002,120.559998,127.940002,132.449997,124.669998,128.570007,128.25,129.600006,124.339996,122.57,130.759995,125.769997,135.639999,143.320007,144.410004,147.479996,163.559998,159.970001,164.270004,172.149994,166.559998,174.539993,180.75,170.330002,173.289993,181.350006,189.449997,186.300003,192.619995,197.529999,209.470001,208,189.080002,195.830002,195.179993,194.539993,210.470001,197.149994,189.479996,196.350006,205.179993,202.910004,212.380005,199.630005,208.949997,191.279999,195.809998,183.960007,186.380005,179.229996,177.479996,185.529999,172.899994,184.259995,194.5,193.529999,185.690002,186.350006,189.149994,191.559998,187.169998,164.360001,161.539993,162.059998,154.660004,160.479996,159.179993,173.669998,170.179993,164.490005,158.710007,142.679993,143.589996,140.369995,141.279999,135.949997,124.830002,134.369995,152.520004,145.270004,152.509995,152.350006,161.449997,159.539993,157.610001,152.789993,159.820007,167.190002,174.289993,181.949997,174.5,158.839996
DDD,NYSE,5.07,6.3,6.31,7.01667,6.44667,7.01,8.47333,6.68,6.98333,7.87333,7.02,5.7,4.75667,4.85,4.83333,5.06667,5.23333,3.03333,3.2,4.00333,3.89,4.66667,3.78333,1.99333,2.69333,2.4,1.57,2.15333,2.18,2.30333,2.49667,2.47333,2.66,3,2.81,3.85667,3.88333,3.52,4.96,4.61333,5.46667,4.3,4.00333,5.30667,4.45667,5.31,8.65667,9.68667,10.66667,9.70667,16.15333,18.35,12.76,12.67333,13.52,13.94667,11.5,9,10.22667,10.27333,10.24,13.14,15.21333,16.16667,20.75333,19.26667,23.533331,24.81333,29.10667,22.57333,30.226669,28.39333,37.186668,39.026669,36.700001,33.139999,37.669998,45.939999,44.880001,47.59,52.939999,55.830002,63.009998,76.889999,94.190002,74.029999,74.860001,58.380001,49.639999,51.82,63.459999,47.93,52.700001,44.540001,37.529999,33.57,32.419998,30.25,30.25,27.469999,24.92,21.6,18.620001,12.34,12.84,10.95,10.63,8.96,9.83,7.71,11.3,15.12,16.58,13.51,13.41,12.71,14.21,17.93,13.48,13.28,13.69,16.52,15.09,14.94,16.24
MMM,NYSE,78.260002,73.989998,73.660004,76.279999,83.610001,88.43,88,89.07,91.150002,94.739998,83.900002,82.209999,82.709999,81.209999,78.489998,81.32,77.839996,76.25,69.779999,70.150002,71.120003,67.389999,64.110001,62.349998,59.189999,50.619999,42.84,50.650002,57.880001,59.290001,60.740002,72.139999,70.120003,72.550003,74.279999,78.629997,83.019997,80.440002,80.580002,83.849998,89.809998,78.07,78.550003,87.410004,81.010002,87.620003,83.980003,86.050003,86.790001,87.790001,90.459999,93.129997,96.919998,91.440002,96.669998,86.769997,81.610001,70.93,76.529999,80.300003,83.489998,87.349998,87.489998,89.230003,89.599998,82.849998,89.279999,91.199997,91.68,93.290001,89.25,90.300003,94.779999,101.559998,103.769997,105.650002,104.550003,110.610001,109.309998,118.410004,113.220001,119.620003,125.900002,127.68,138.130005,123.900002,132.210007,136.529999,140.809998,142.320007,144.559998,140.110001,144.220001,139.179993,153.300003,158.160004,164.059998,164.419998,170.5,162.520004,157.679993,158.979996,155.649994,150.119995,138.5,140.800003,159.919998,156.899994,146.820007,148.729996,159.589996,167.529999,168.339996,168.690002,175.539993,178.289993,179.979996,175.039993,164.25,172.630005,178.050003,175.169998,189.860001,190.720001,194.809998
WBAI,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.66,37.209999,39.560001,45.880001,39.259998,32.48,32.779999,37.009998,37.75,36.599998,32.09,29.959999,21.49,16.940001,16.709999,10.02,10.42,17.940001,19.6,24.09,21.110001,14.27,16.530001,20.940001,19.889999,19.18,17.469999,18.790001,16.57,19.34,17.030001,16.75,17.73,18.139999,18.02,16.9,13.4,14.7,13.32,12.87,14.44,12.98
WUBA,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30.84,37.990002,35.66,50.599998,46.799999,42.57,39.43,53.139999,48.98,43.240002,35.889999,39.669998,48.5,41.900002,37.349998,41.040001,51.490002,78.709999,76.82,63.68,56.75,43.25,45.490002,52.849998,64,62.360001,56.18,53,54.889999,53.400002,52.099998,47,51.759998,46.189999,48.419998,41.91,30.379999,28.17,28.99,37.040001,36.07,39.59
AHC,NYSE,,,,,,,,,,,,,,,12.18,11.74,9.6,9.26,5.32,5.14,5.01,5,3.45,1.64,2.45,2.06,0.98,1.15,1.68,1.29,0.96,2.63,2.8,3.26,4.26,4.55,6,6.53,7.54,7.71,8.71,7.06,6.49,7.71,7.23,7.05,7.18,8.48,8.83,8.47,7.17,8.25,8.26,6.79,7.35,6.19,5.14,3.92,4.63,4.03,4.9,6.06,4.78,4.95,4.27,4.02,4.1,4.22,4.62,4.82,5.02,4.56,4.9,5.34,5.14,5.76,5.88,6.72,6.62,7.46,7.16,7.9,7.88,7.52,7.41,7.87,11.9,11.65,11.21,11.76,11.92,10.42,11.54,10.74,11.5,11.81,10.42,8.83,8.94,8.28,6.53,5.81,5.56,5.33,4.9,4.79,5.51,5.51,5.06,6,6.1,4.87,5.09,4.98,4.93,5.22,6.18,7.37,6,6.15,6.4,6.5,6.25,5.95,6.1
ATEN,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22,13.04,11.14,13.7,11.46,11.76,8.66,4.3,3.99,4.54,4.78,4.3,4.33,4.48,5.86,6.44,6.92,6.36,5.83,7.69,7.85,6.36,5.77,6.47,6.13,6.17,6.64,6.58,8,9.93,10.77,7.65,7.93,8.42,7.93,9.56,9.17,7.97
AAC,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.05,22,29.59,30.209999,25.59,34.27,30.73,34.43,39.040001,42.939999,32.790001,22.120001,22.59,22.33,24.719999,18.52,18.65,20.34,20.370001,20.059999,22.209999,22.74,21.5,19.26,17.610001,16.280001,8.52,7.72,8.01,8.91,8.52,7.12
AIR,NYSE,29.35,29.360001,29.129999,27.4,31.120001,33.439999,34.110001,29.379999,31.200001,31.299999,30.75,32.259998,37.380001,30.870001,25.610001,26,24.4,18.870001,13.1,17.110001,16.35,16.139999,16.389999,14.85,17.940001,17.870001,11.97,12.76,14.58,15.61,16.42,19.459999,16.75,21.43,19.83,19.02,23.77,23.23,22.870001,24.879999,25.9,18.389999,16.559999,16.959999,16.48,18.75,21.799999,25.190001,28.77,27.57,26.360001,28.059999,25.9,25.780001,27.620001,29.110001,23.040001,15.17,18.74,17.99,19.74,22.280001,22.33,18.719999,15.31,11.56,13.2,13.65,14.7,16.74,15.19,15.19,19.370001,19.07,17.32,17.92,17.620001,20.68,22.77,24.67,25.51,27.73,29.139999,30.17,27.360001,26.43,29.24,25.940001,25.59,24.5,27.879999,26.85,27.6,23.92,26.209999,25.58,27.209999,28.48,30.690001,30.950001,30.16,29.540001,31.879999,26.92,23.549999,19.57,23.59,24.65,25.790001,20.690001,21.49,23.389999,24.059999,24.389999,23.290001,24,26.209999,30.950001,32,36.98,33.25,32.049999,34.950001,34.200001,35.869999
AAN,NYSE,17,17.5,16,15.98667,16.9,17.453329,17.4,14.9,15.66667,14.23333,12.76667,12.7,11.21333,11.36667,11.93333,13.06667,14.93333,13.1,13,15.67333,15.83333,15.42667,13.72,13.36667,14.23333,11.46667,13.33333,14.96,19,17.566669,15.5,14.66667,13.77333,13.78667,13.3,13.76,14.71333,14.8,16.02,18.1,18.42,15.75,13.05,14.65,13,18,18.59,20.25,20.709999,19.75,22.700001,25.6,28.66,28.049999,28.809999,25.24,26.09,24.370001,25.73,26,26.629999,27.799999,27.49,26.08,27.379999,26.41,28.530001,29.08,30.360001,27.49,31.969999,28.76,28.700001,29.83,27.389999,28.309999,28.219999,27.82,28.41,28.92,26.790001,27.66,28.379999,28.25,29.450001,26.690001,30.5,30.41,29.59,32.98,35.900002,26.4,25.43,23.530001,25.030001,28.35,30.620001,31.93,29.73,27.52,34.669998,34.049999,36.139999,36.959999,36.709999,36.32,25.389999,24.5,22.68,22.65,23.379999,25.35,26.49,25.1,22.379999,24.1,24.469999,24.950001,25.17,29.370001,31.9,30.799999,27.74,29.25,36.740002
ABB,NYSE,17.82,18.02,16.58,17.280001,20,21.74,23.379999,23.799999,24.73,27.15,29.780001,28.85,28.639999,26,25.120001,27.49,31.040001,32.25,27.969999,25.790001,24.459999,19,12.98,11.53,15.25,12.34,10.97,14.33,14.38,17.18,16.16,18.99,18.370001,19.459999,18.75,18.719999,19.639999,18.48,20.48,22.139999,19.450001,16.690001,17.59,20.73,19.84,21.389999,20.549999,19.73,22.719999,24,24.120001,24.65,26.940001,26.27,26.08,23.74,21.190001,16.42,18.1,18.68,19.82,21.57,20.700001,20.700001,18.26,15.63,16.42,17.360001,17.24,18.940001,18.299999,19.43,21.190001,21.879999,22.65,22.52,22.34,22.129999,21.860001,22.129999,21.58,23.709999,25.209999,25.26,25.93,24.309999,24.950001,26.07,23.940001,23.48,23.01,22.83,22.969999,22.120001,21.809999,22.139999,21.08,19.549999,21.450001,21.379999,21.940001,21.67,20.870001,20.1,18.91,17.540001,19.1,18.6,17.52,17.219999,18.200001,19.27,21.23,20.879999,19.91,21.07,22.07,22.52,20.52,20.59,21.280001,23.75,22.98,23.24,24.57
ABT,NYSE,23.495806,25.367025,25.803644,26.777637,27.353397,27.012739,26.062737,24.44581,24.748083,26.489758,25.966776,27.353397,26.777637,27.61249,25.539755,26.499353,25.702887,26.715263,26.009958,26.902386,28.312998,27.967543,26.868799,24.06197,25.698088,26.662485,22.569792,22.40666,19.921295,21.581404,22.377872,21.504637,21.648577,23.356665,24.426619,26.139503,26.129908,25.592531,26.048342,25.410208,24.407427,22.521812,22.291508,23.908434,24.119547,25.227884,24.27788,22.555399,22.944036,21.701353,22.790501,23.687725,25.232681,24.911217,25.477381,24.215506,24.920813,24.06197,25.314247,26.158695,27.214256,26.033949,27.502136,29.382952,29.857954,29.037497,31.009474,31.714781,31.407707,33.144585,31.40291,30.846342,32.049999,33.869999,33.599998,35.310001,36.889999,37.16,35.029999,36.84,32.93,33.779999,36.959999,38.139999,38.23,35.849998,39.330002,38.470001,38.669998,39.799999,41.18,42.029999,42.23,41.18,43.290001,44.32,44.900002,45.23,47.220001,45.889999,46.689999,48.939999,49.52,50.5,43.57,40.759998,45.43,45.459999,42.93,38.450001,39.330002,42.189999,38.849998,39.5,39.540001,45.290001,42.299999,42.549999,39.049999,37.599998,39.049999,42.330002,45.59,44.470001,43.48
ABBV,NYSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.119999,37.18,37.810001,41.119999,45.549999,43.360001,41.610001,45.25,42.59,45.799999,48.959999,48.389999,51.98,47.349998,50.09,52.099998,51.610001,54.150002,56.889999,52.48,55.07,57.23,63.25,69.110001,65.889999,60.700001,60.459999,57.099998,64.32,66.93,68.510002,69.730003,60.5,55.130001,63.380001,59.02,57.610001,54.389999,56.34,57.419998,61.439999,62.830002,62.709999,66.940002,64.029999,63.23,56.450001,59.16,62.41,60.889999,62.830002,65.029999,66.480003
ANF,NYSE,71.059998,81.510002,77.900002,77.139999,80.989998,81.260002,72.370003,70.25,78.300003,82.25,74.019997,80.800003,78.809998,82.059998,77.559998,76.690002,74.910004,70.980003,62.889999,55.240002,55.34,38.669998,27,16.469999,24.360001,18.49,20.75,24.27,25.92,32.240002,25.43,30.059999,31.66,31.700001,32.98,40.060001,35.099998,32.07,36.82,46.650002,44.68,34.650002,31.91,38.84,36.580002,37.75,42.549999,50.439999,58.029999,50.73,57.93,59.299999,71.059998,74.269997,68.720001,75.279999,62.650002,59.650002,74.239998,47.880001,48.889999,46.830002,47.330002,51.619999,53.02,32.139999,34.02,34.02,34.950001,33.450001,33.23,45.650002,47.560001,51.07,46.27,45.939999,49.049999,49.720001,46.189999,51.459999,34.93,35.91,36.900002,34.02,32.009998,33.650002,39.27,38.619999,37.84,38.560001,43.380001,38.389999,41.919998,35.130001,32.610001,28.15,28.58,25.33,24.42,22.15,22.51,20.4,21.620001,19.440001,20.049999,20.01,21.110001,25.75,27.360001,26.35,29.34,31.559999,27.209999,19.52,18.15,20.709999,17.32,15.72,14.48,14.26,12.11,11.36,11.69,11.36,11.99
